# muA, ampA, muB, ampB, timestrings
-2.883102239812319056e-01 3.509736528053317004e-07 -1.298853077590065652e+01 1.410768321528837685e-07 4.504235117940704367e+04
1.819467029149810289e+00 3.600922901199627741e-07 1.436665922214755697e-01 1.532967310096826485e-07 4.504236798274461762e+04
6.619970984258668478e-01 3.597340660956843737e-07 5.190436294282091412e-01 5.788249564594758768e-08 4.504238474209953711e+04
2.295671023599141561e-02 4.568330506623810829e-07 -1.732763310716366689e+01 -9.277887309181824150e-08 4.504240150144390645e+04
-8.458939595132772826e-01 8.514080311581553744e-07 -1.897183486512262984e+00 2.372275384720086368e-07 4.504327044394976110e+04
-2.219235566705193841e-01 6.940577811592450593e-07 -3.200901758104517825e+00 1.869463295871042785e-07 4.504328586067951983e+04
-6.446003707558419782e-01 6.423924922266046703e-07 -3.649493143243953686e+00 1.345517713246001141e-07 4.504330127739770978e+04
-1.138966472455425594e+00 6.327750878693872564e-07 4.088064846798578955e+00 8.795701168354026071e-08 4.504331669410670293e+04
-2.323575809751926569e-01 6.763975820617564429e-07 -1.609179055726150942e-02 7.443125617924045879e-08 4.504333211955513252e+04
-2.106393278326946117e+00 4.083719374965579597e-07 -4.957443122058140084e+00 1.127176622475313320e-07 4.504335047522561945e+04
-1.033848020696586101e-01 5.078921200677837499e-07 -9.376012847351786306e+00 3.021540607552407804e-08 4.504336713404238981e+04
-2.047516960814928844e+00 3.959064696973387259e-07 1.345810927120648337e+01 -9.362742672764684826e-08 4.504338255082922115e+04
-9.503909557081381410e-01 5.431803372096311011e-07 -9.498894617376544280e-01 1.273058665178304744e-07 4.504436244213970349e+04
6.742010342131339318e-01 3.819963512118639613e-07 -6.014636784292661797e-01 -3.790388503116373795e-08 4.504438012329469348e+04
-2.383258839627081738e+00 4.441072184795774461e-07 2.028039698974293259e-01 1.083754974033595832e-07 4.504439785841797857e+04
